Date,Open,High,Low,Close
8/7/2018,2855.92,2863.43,2855.92,2858.45
8/6/2018,2840.29,2853.29,2835.98,2850.4
8/3/2018,2829.62,2840.38,2827.37,2840.35
8/2/2018,2800.48,2829.91,2796.34,2827.22
8/1/2018,2821.17,2825.83,2805.85,2813.36
7/31/2018,2809.73,2824.46,2808.06,2816.29
7/30/2018,2819,2821.74,2798.11,2802.6
7/27/2018,2842.35,2843.17,2808.34,2818.82
7/26/2018,2835.49,2845.57,2835.26,2837.44
7/25/2018,2817.73,2848.03,2817.73,2846.07
7/24/2018,2820.68,2829.99,2811.12,2820.4
7/23/2018,2799.17,2808.61,2795.14,2806.98
7/20/2018,2804.55,2809.7,2800.01,2801.83
7/19/2018,2809.37,2812.05,2799.77,2804.49
7/18/2018,2811.35,2816.76,2805.89,2815.62
7/17/2018,2789.34,2814.19,2789.24,2809.55
7/16/2018,2801.43,2803.71,2793.39,2798.43
7/13/2018,2796.93,2804.53,2791.69,2801.31
7/12/2018,2783.14,2799.22,2781.53,2798.29
7/11/2018,2779.82,2785.91,2770.77,2774.02
7/10/2018,2788.56,2795.58,2786.24,2793.84
7/9/2018,2768.51,2784.65,2768.51,2784.17
7/6/2018,2737.68,2764.41,2733.52,2759.82
7/5/2018,2724.19,2737.83,2716.02,2736.61
7/3/2018,2733.27,2736.58,2711.16,2713.22
7/2/2018,2704.95,2727.26,2698.95,2726.71
6/29/2018,2727.13,2743.26,2718.03,2718.37
6/28/2018,2698.69,2724.34,2691.99,2716.31
6/27/2018,2728.45,2746.09,2699.38,2699.63
6/26/2018,2722.12,2732.91,2715.6,2723.06
6/25/2018,2742.94,2742.94,2698.67,2717.07
6/22/2018,2760.79,2764.17,2752.68,2754.88
6/21/2018,2769.28,2769.28,2744.39,2749.76
6/20/2018,2769.73,2774.86,2763.91,2767.32
6/19/2018,2752.01,2765.05,2743.19,2762.59
6/18/2018,2765.79,2774.99,2757.12,2773.75
